Location	Site	Lat	Lon	Year	Plot	Trt	Nfert	TotalCover	WeedCover	TargetCover	TotalBiomass	WeedBiomass	TargetBiomass	Amorpha_canescens	Andropogon_gerardii	Asclepias_tuberosa	Astragalus_canadensis	Baptisia_australis	Bouteloua_curtipendula	Chamaecrista_fasciculata	Desmodium_canadense	Echinacea_pallida	Elymus_canadensis	Elymus_trachycaulum	Elymus_virginicus	Galium_boreale	Glycerryza_lepidota	Helianthus_maximilianii	Lathyrus_ochroleucus	Lespedeza_capitata	Liatris_aspera	Lupinus_perennis	Monarda_fistulosa	Panicum_virgatum	Petalostemum_candidum	Petalostemum_purpurea	Ratibida_pinnata	Rudbeckia_hirta	Schizachyrium_scoparium	Silphium_perfoliatum	Solidago_rigida	Sorghastrum_nutans	Vicia_americana	Zizia_aurea
1	B	45.387048	-93.88178	2006	4318	3	1	95	35	60	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60	NA	NA
1	B	45.387048	-93.88178	2006	4319	12	0	78	35	43	NA	NA	NA	1	0	2	3	1	0	5	5	NA	0	0	0	NA	NA	15	NA	1	0	5	3	1	NA	0	1	NA	0	0	0	0	NA	0
1	B	45.387048	-93.88178	2006	4320	10	0	98	70	28	NA	NA	NA	1	NA	5	5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	NA	NA	NA	NA	NA	NA	1	5	NA	NA	NA	0	NA	NA	NA
1	B	45.387048	-93.88178	2006	4321	2	0	95	70	25	NA	NA	NA	NA	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	B	45.387048	-93.88178	2006	4322	1	1	100	20	80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	B	45.387048	-93.88178	2006	4323	2	1	100	75	25	NA	NA	NA	NA	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	B	45.387048	-93.88178	2006	4324	10	1	99	30	69	NA	NA	NA	2	NA	10	10	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	35	NA	NA	NA	NA	NA	NA	NA	1	10	NA	NA	NA	0	NA	NA	NA
1	B	45.387048	-93.88178	2007	4101	2	0	88	3	85	32	14	18	NA	85	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	B	45.387048	-93.88178	2007	4102	12	0	97	0	97	63	NA	63	0	0	0	1	0	0	0	5	NA	0	0	0	NA	NA	50	NA	0	0	0	3	35	NA	0	2	NA	0	0	1	0	NA	0
1	B	45.387048	-93.88178	2007	4103	7	0	97	0	97	26	NA	26	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	85	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	5	NA	NA	NA
1	B	45.387048	-93.88178	2007	4104	7	1	99	1	98	15	NA	15	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	85	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	5	NA	NA	NA
1	B	45.387048	-93.88178	2007	4105	1	1	66	1	65	75	1	74	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	65	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	B	45.387048	-93.88178	2007	4106	11	1	99	3	96	48	NA	48	0	0	1	1	0	NA	NA	NA	NA	0	NA	NA	NA	NA	40	NA	NA	NA	NA	NA	40	NA	1	10	NA	NA	NA	3	0	NA	NA
1	B	45.387048	-93.88178	2007	4107	8	0	86	1	85	86	NA	86	1	0	NA	3	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	80	NA	1	NA	NA	NA	NA	NA	0	NA	NA
1	B	45.387048	-93.88178	2007	4108	3	0	97	2	95	39	NA	39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	95	NA	NA
1	B	45.387048	-93.88178	2007	4109	4	0	27	2	25	28	1	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	25	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	B	45.387048	-93.88178	2007	4110	8	1	67	1	66	67	NA	67	0	0	NA	2	1	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	60	NA	3	NA	NA	NA	NA	NA	0	NA	NA
1	B	45.387048	-93.88178	2007	4111	6	1	45	30	15	13	11	2	3	NA	NA	10	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
1	B	45.387048	-93.88178	2007	4112	10	1	100	1	99	23	NA	23	1	NA	3	2	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	70	NA	NA	NA	NA	NA	NA	NA	1	20	NA	NA	NA	2	NA	NA	NA
1	B	45.387048	-93.88178	2007	4113	11	0	98	1	97	85	NA	85	1	0	2	2	0	NA	NA	NA	NA	0	NA	NA	NA	NA	15	NA	NA	NA	NA	NA	70	NA	0	5	NA	NA	NA	2	0	NA	NA
1	B	45.387048	-93.88178	2007	4114	1	0	71	1	70	111	NA	111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	70	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	B	45.387048	-93.88178	2007	4115	5	0	90	0	90	78	NA	78	NA	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	90	NA	NA	NA	NA	NA	NA	NA	0	NA	NA
1	B	45.387048	-93.88178	2007	4116	9	1	100	1	99	49	NA	49	NA	0	1	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	45	NA	NA	NA	NA	NA	50	NA	NA	2	NA	NA	NA	1	0	NA	NA
1	B	45.387048	-93.88178	2007	4117	4	1	46	1	45	41	3	38	NA	NA	NA	NA	NA	NA	NA	NA	NA	45	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	B	45.387048	-93.88178	2007	4118	3	1	71	1	70	38	6	32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	70	NA	NA
1	B	45.387048	-93.88178	2007	4119	10	0	100	1	99	51	1	50	0	NA	5	4	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	75	NA	NA	NA	NA	NA	NA	NA	0	10	NA	NA	NA	5	NA	NA	NA
1	B	45.387048	-93.88178	2007	4120	6	0	57	40	17	12	11	1	5	NA	NA	10	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA
1	B	45.387048	-93.88178	2007	4121	9	0	100	1	99	67	NA	67	NA	0	2	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	15	NA	NA	NA	NA	NA	75	NA	NA	3	NA	NA	NA	4	0	NA	NA
1	B	45.387048	-93.88178	2007	4122	12	1	98	1	97	83	1	82	0	0	1	0	0	0	0	5	NA	0	0	0	NA	NA	20	NA	0	0	0	5	65	NA	0	1	NA	0	0	0	0	NA	0
